name,Buy Price,Unlock Time,Buy Market,Sell Price,Sell Market,Profit,Relative Profit,Time Efficiency
SSG 08 | Sea Calico (Battle-Scarred),1331.11,0,Skinport,24375.0,Buff,23043.89,17.311784901322955,1625.2907948479515
MP7 | Powercore (Well-Worn),0.52,0,Skinport,9.50625,Buff,8.98625,17.28125,1622.4240717269868
StatTrak™ XM1014 | Incinegator (Well-Worn),4.7,0,Skinport,85.7025,Buff,81.0025,17.234574468085107,1618.0420098657567
Sealed Graffiti | 200 IQ (Monster Purple),0.07,0,Skinport,1.23825,Buff,1.16825,16.689285714285713,1566.8483982805908
Sealed Graffiti | Little Crown (Wire Blue),0.04,0,Skinport,0.702,Buff,0.6619999999999999,16.549999999999997,1553.77176923438
Souvenir MP7 | Army Recon (Well-Worn),11.25,0,Skinport,194.025,Buff,182.775,16.246666666666666,1525.2937770892988
Sealed Graffiti | Smooch (Tiger Orange),0.07,0,Skinport,1.1895,Buff,1.1195,15.99285714285714,1501.4652530495366
Sticker | hazed | MLG Columbus 2016,3.42,0,Skinport,57.836999999999996,Buff,54.416999999999994,15.911403508771928,1493.8181015605246
Souvenir Nova | Army Sheen (Factory New),0.03,0,Skinport,0.507,Buff,0.477,15.9,1492.747500352063
Sticker | Calyx (Gold) | Boston 2018,327.74,0,Skinport,5536.05,Buff,5208.31,15.891590895221823,1491.958024242766
Sealed Graffiti | Uh Oh (Jungle Green),0.04,0,Skinport,0.663,Buff,0.623,15.575,1462.2353659109044
Sticker | FL1T (Foil) | Berlin 2019,0.63,0,Skinport,10.237499999999999,Buff,9.607499999999998,15.249999999999996,1431.7232314697455
DreamHack 2014 Dust II Souvenir Package,663.13,0,Skinport,10725.0,Buff,10061.87,15.173299353068026,1424.5223070054008
Sealed Graffiti | Sorry (Desert Amber),0.02,0,Skinport,0.32175,Buff,0.30174999999999996,15.087499999999999,1416.4671642491664
Sealed Graffiti | Applause (Wire Blue),0.12,0,Skinport,1.9304999999999999,Buff,1.8104999999999998,15.087499999999999,1416.4671642491664
Sealed Graffiti | 1G (Princess Pink),0.05,0,Skinport,0.7897500000000001,Buff,0.73975,14.795,1389.006243252124
StatTrak™ AWP | Oni Taiji (Battle-Scarred),345.88,0,Skinport,5416.125,Buff,5070.245,14.658971319532785,1376.2353959097577
Sticker | Trick Or Threat,0.441,0,Skinout,6.8835,Buff,6.4425,14.608843537414966,1371.5292247490931
Sticker | magixx | Antwerp 2022,0.02,0,Skinport,0.312,Buff,0.292,14.6,1370.698962587429
Sealed Graffiti | BOOM (Jungle Green),0.09,0,Skinport,1.39425,Buff,1.30425,14.491666666666665,1360.5282511070425
StatTrak™ UMP-45 | Momentum (Battle-Scarred),6.28,0,Skinport,96.52499999999999,Buff,90.24499999999999,14.370222929936304,1349.1266891927244
Souvenir SG 553 | Lush Ruins (Minimal Wear),0.03,0,Skinport,0.45825,Buff,0.42825,14.275,1340.1868281462705
StatTrak™ P250 | Mehndi (Battle-Scarred),25.12,0,Skinport,379.275,Buff,354.155,14.098527070063692,1323.6189334895264
Dual Berettas | Panther (Battle-Scarred),1.094,3,Skinout,16.808999999999997,Buff,15.714999999999998,14.364716636197437,1323.3271889633754
Sealed Graffiti | Applause (Battle Green),0.13,0,Skinport,1.94025,Buff,1.81025,13.924999999999999,1307.3276064404074
AWP | Safari Mesh (Battle-Scarred),0.04,0,Skinport,0.59475,Buff,0.55475,13.868749999999999,1302.046660094822
Sealed Graffiti | OMG (Battle Green),0.08,0,Skinport,1.1895,Buff,1.1095,13.868749999999999,1302.046660094822
Souvenir MAC-10 | Echoing Sands (Field-Tested),0.05,0,Skinport,0.741,Buff,0.691,13.819999999999999,1297.4698399286483
Nova | Walnut (Factory New),25.73,0,Skinport,380.25,Buff,354.52,13.778468713563932,1293.570737789413
StatTrak™ AWP | Electric Hive (Well-Worn),96.15,0,Skinport,1413.5745,Buff,1317.4244999999999,13.701762870514818,1286.369325495453
Sealed Graffiti | Silver Bullet (Cash Green),0.04,0,Skinport,0.585,Buff,0.5449999999999999,13.624999999999998,1279.1625592639532
Sticker | aizy (Foil) | Atlanta 2017,30.36,0,Skinport,438.75,Buff,408.39,13.451581027667984,1262.8813808072086
Sticker | roeJ (Holo) | Paris 2023,1.069,0,Skinout,15.405000000000001,Buff,14.336000000000002,13.410664172123482,1259.0399635847984
Five-SeveN | Contractor (Factory New),15.48,0,Skinport,221.31525,Buff,205.83525,13.296850775193798,1248.3547646053416
Sealed Graffiti | Eat It (Blood Red),0.02,0,Skinport,0.28275,Buff,0.26275,13.1375,1233.3943576022157
Sticker | BOROS (Glitter) | Paris 2023,0.07,0,Skinout,0.98475,Buff,0.91475,13.067857142857141,1226.8560430791101
StatTrak™ FAMAS | Decommissioned (Battle-Scarred),0.096,5,Skinout,1.37475,Buff,1.2787499999999998,13.320312499999998,1211.7967740761628
Souvenir Dual Berettas | Oil Change (Minimal Wear),0.04,0,Skinport,0.55575,Buff,0.5157499999999999,12.893749999999997,1210.5102567713463
Sealed Graffiti | BEEP (Monarch Blue),0.04,0,Skinport,0.55575,Buff,0.5157499999999999,12.893749999999997,1210.5102567713463
AUG | Condemned (Factory New),0.229,6,Skinout,3.28575,Buff,3.05675,13.34825327510917,1206.8181286093256
Souvenir MAC-10 | Urban DDPAT (Field-Tested),0.056,1,Skinout,0.78,Buff,0.724,12.928571428571427,1206.1809777929418
StatTrak™ Tec-9 | Ice Cap (Well-Worn),0.25,0,Skinport,3.4612499999999997,Buff,3.2112499999999997,12.844999999999999,1205.933436605173
Souvenir AUG | Spalted Wood (Factory New),0.066,8,Skinout,0.9555,Buff,0.8895,13.477272727272727,1203.5858333279207
Souvenir XM1014 | Urban Perforated (Well-Worn),0.07,0,Skinport,0.9652499999999999,Buff,0.8952499999999999,12.789285714285711,1200.7027849866884
Fracture Case,0.175,8,Skinout,2.5252499999999998,Buff,2.35025,13.43,1199.3641494605986
Sealed Graffiti | Puke (Frog Green),0.12,0,Skinport,1.6477499999999998,Buff,1.5277499999999997,12.731249999999998,1195.2541895507673
★ StatTrak™ Survival Knife | Stained (Well-Worn),218.49,0,Skinport,3000.0067499999996,Buff,2781.51675,12.730636413565836,1195.1965839145507
Sticker | kyxsan (Holo) | Paris 2023,0.358,0,Skinout,4.90425,Buff,4.546250000000001,12.699022346368718,1192.2285449343958
