Name,Buy Market,Buy Price,Sell Market,Sell Price,Relative Profit,Profit
Galil AR | Signal (Well-Worn),Skinout,0.297,Buff,0.37856532000000004,0.27463070707070725,0.08156532000000005
UMP-45 | Gold Bismuth (Battle-Scarred),Skinout,1.086,Buff,1.3829508000000001,0.2734353591160221,0.29695080000000007
StatTrak™ SSG 08 | Bloodshot (Battle-Scarred),Skinout,13.137,Buff,16.693194000000002,0.27070061657912775,3.5561940000000014
MAC-10 | Monkeyflage (Minimal Wear),Skinout,0.098,Buff,0.12432588000000001,0.2686314285714287,0.02632588000000001
StatTrak™ MAG-7 | Heat (Well-Worn),Skinout,0.362,Buff,0.45818976,0.26571756906077354,0.09618976000000001
Desert Eagle | Urban DDPAT (Battle-Scarred),Skinout,1.17,Buff,1.4807352,0.26558564102564114,0.3107352000000001
Tec-9 | Ice Cap (Minimal Wear),Skinout,0.137,Buff,0.17321808000000002,0.26436554744525553,0.036218080000000014
StatTrak™ Nova | Tempest (Field-Tested),Skinout,4.367,Buff,5.51923092,0.26384953514998855,1.15223092
USP-S | Lead Conduit (Battle-Scarred),Skinout,0.246,Buff,0.31011624000000004,0.2606351219512197,0.06411624000000005
Sticker | FaZe (Foil) | 2020 RMR,Skinout,1.74,Buff,2.1931644,0.26043931034482765,0.45316440000000013
Sticker | The Pro (Foil),Skinout,3.223,Buff,4.04548032,0.25519091529630794,0.8224803200000004
StatTrak™ Glock-18 | Clear Polymer (Well-Worn),Skinout,0.137,Buff,0.17182116,0.2541690510948904,0.03482115999999999
StatTrak™ SG 553 | Cyberforce (Well-Worn),Skinout,0.078,Buff,0.09778440000000001,0.25364615384615397,0.019784400000000008
Tec-9 | Red Quartz (Minimal Wear),Skinout,0.078,Buff,0.09778440000000001,0.25364615384615397,0.019784400000000008
UMP-45 | Indigo (Minimal Wear),Skinout,1.547,Buff,1.9347342,0.2506361990950227,0.38773420000000014
StatTrak™ P250 | X-Ray (Field-Tested),Skinout,0.877,Buff,1.0965822,0.2503787913340936,0.21958220000000006
Galil AR | Tuxedo (Battle-Scarred),Skinout,0.266,Buff,0.33246696000000003,0.24987578947368427,0.06646696000000002
Sticker | Poorly Drawn FBI,Skinout,0.189,Buff,0.23607948,0.2490977777777778,0.04707948000000001
StatTrak™ SCAR-20 | Grotto (Field-Tested),Skinout,0.31,Buff,0.38694684,0.24821561290322586,0.07694684000000002
StatTrak™ Glock-18 | Off World (Well-Worn),Skinout,0.14,Buff,0.17461500000000002,0.24725000000000003,0.03461500000000001
SCAR-20 | Grotto (Battle-Scarred),Skinout,0.117,Buff,0.14527968000000002,0.2417066666666668,0.028279680000000015
Sticker | Conspiracy Club (Holo),Skinout,0.423,Buff,0.52524192,0.24170666666666676,0.10224192000000004
Dual Berettas | Tread (Field-Tested),Skinout,0.233,Buff,0.28916244,0.24104051502145926,0.05616244000000001
SCAR-20 | Enforcer (Battle-Scarred),Skinout,0.206,Buff,0.25563636,0.24095320388349525,0.04963636000000002
FAMAS | Decommissioned (Minimal Wear),Skinout,0.098,Buff,0.12153204000000001,0.24012285714285717,0.023532040000000004
Tec-9 | Snek-9 (Field-Tested),Skinout,0.088,Buff,0.10895976000000002,0.23817909090909117,0.02095976000000002
Sticker | Baited,Skinout,0.14,Buff,0.17321808000000002,0.23727200000000007,0.03321808000000001
StatTrak™ XM1014 | Slipstream (Minimal Wear),Skinout,0.418,Buff,0.5168604000000001,0.23650813397129217,0.09886040000000013
StatTrak™ SG 553 | Tiger Moth (Field-Tested),Skinout,1.094,Buff,1.35221856,0.23603159049360142,0.25821856
MP5-SD | Condition Zero (Well-Worn),Skinout,0.312,Buff,0.38554992,0.23573692307692304,0.07354991999999999
Five-SeveN | Orange Peel (Minimal Wear),Skinout,0.078,Buff,0.09638748,0.23573692307692304,0.018387479999999998
MAC-10 | Classic Crate (Field-Tested),Skinout,0.078,Buff,0.09638748,0.23573692307692304,0.018387479999999998
Glock-18 | Nuclear Garden (Well-Worn),Skinout,2.297,Buff,2.8357476000000004,0.2345440139312147,0.5387476000000002
M4A1-S | VariCamo (Well-Worn),Skinout,0.336,Buff,0.41348832,0.23062,0.07748832
P250 | Muertos (Battle-Scarred),Skinout,2.706,Buff,3.3274634400000003,0.22966128603104224,0.6214634400000003
Sticker | 9z Team (Glitter) | Rio 2022,Skinout,0.306,Buff,0.37577148000000005,0.2280113725490198,0.06977148000000005
Glock-18 | Umbral Rabbit (Field-Tested),Skinout,0.226,Buff,0.27659016000000003,0.22385026548672576,0.05059016000000002
MAG-7 | Metallic DDPAT (Minimal Wear),Skinout,0.137,Buff,0.1676304,0.22357956204379562,0.030630400000000002
