Name,Buy Market,Buy Price,Sell Market,Sell Price,Relative Profit,Profit
SSG 08 | Hand Brake (Well-Worn),Skinout,0.323,Buff,0.44680000000000003,1.38328173374613,0.12380000000000002
P250 | Valence (Minimal Wear),Skinout,0.107,Buff,0.1480025,1.3832009345794394,0.04100250000000001
StatTrak™ P90 | Freight (Field-Tested),Skinout,0.078,Buff,0.10751125,1.378349358974359,0.029511250000000003
R8 Revolver | Bone Forged (Minimal Wear),Skinout,0.06,Buff,0.08237875,1.3729791666666666,0.022378750000000003
Souvenir MAC-10 | Urban DDPAT (Minimal Wear),Skinout,0.281,Buff,0.38396874999999997,1.3664368327402132,0.10296874999999994
StatTrak™ MP7 | Armor Core (Battle-Scarred),Skinout,0.14,Buff,0.19128625000000002,1.366330357142857,0.051286250000000005
StatTrak™ Glock-18 | Oxide Blaze (Well-Worn),Skinout,0.136,Buff,0.18570125,1.3654503676470588,0.04970125
Sticker | Natus Vincere (Foil) | 2020 RMR,Skinout,0.465,Buff,0.6311049999999999,1.3572150537634406,0.1661049999999999
Glock-18 | Sacrifice (Field-Tested),Skinout,0.098,Buff,0.13264375,1.3535076530612244,0.03464375
SCAR-20 | Storm (Battle-Scarred),Skinout,1.522,Buff,2.05946875,1.3531332128777924,0.5374687500000002
StatTrak™ UMP-45 | Roadblock (Well-Worn),Skinout,0.063,Buff,0.08517125,1.3519246031746033,0.022171250000000003
UMP-45 | Full Stop (Well-Worn),Skinout,0.764,Buff,1.0318287499999999,1.3505611910994761,0.26782874999999984
Sticker | Renegades (Holo) | 2020 RMR,Skinout,0.059,Buff,0.07958625,1.3489194915254237,0.02058625
CZ75-Auto | Victoria (Well-Worn),Skinout,6.602,Buff,8.888527499999999,1.3463386095122687,2.2865274999999983
Patch | Payback,Skinout,0.079,Buff,0.106115,1.3432278481012658,0.027115
StatTrak™ MP7 | Urban Hazard (Well-Worn),Skinout,0.13,Buff,0.17453125,1.3425480769230769,0.044531249999999994
Dual Berettas | Stained (Factory New),Skinout,0.156,Buff,0.2094375,1.3425480769230769,0.0534375
SCAR-20 | Green Marine (Well-Worn),Skinout,0.076,Buff,0.10192625,1.3411348684210527,0.025926249999999998
